"","loc_tag","long","lat","inout","time_group","PM1.0_CF1_ug/m3","PM2.5_CF1_ug/m3","PM10.0_CF1_ug/m3","RSSI_dbm","Temperature_F","Humidity_%","PM2.5_ATM_ug/m3","ADC","Pressure_hpa","IAQ"
"137","Marion Court Apartments",-122.6302,45.51187,"outside","morning",19.3527314814815,28.9538425925926,31.5059537037037,-71.2333333333333,65.1,67.4481481481481,27.5737222222222,0,1016.48203703704,NA
"138","Marion Court Apartments",-122.6302,45.51187,"outside","night",20.8330111111111,28.7839,30.7578,-72.2088888888889,69.4444444444444,60.6777777777778,26.6125222222222,0,1015.28128888889,NA
"139","Master bedroom",-122.6074,45.51024,"inside","afternoon",1.98561256544503,3.58006282722513,4.17778010471204,-66.1591623036649,83.9811518324607,29.6565445026178,3.57981151832461,0.03,1014.28382198953,NA
"140","Master bedroom",-122.6074,45.51024,"inside","morning",0.310223602484472,0.78095652173913,1.05263354037267,-65.2931677018634,83.5229813664596,28.8931677018634,0.777739130434783,0.03,1014.6308447205,NA
"141","Master bedroom",-122.6074,45.51024,"inside","night",0.340134803921569,0.894742647058824,1.10292892156863,-66.9975490196078,84.1360294117647,28.9779411764706,0.894742647058824,0.03,1014.97140931373,NA
"142","Miller",-122.7583,45.52269,"outside","afternoon",6.85812592592593,9.89587407407407,10.8743037037037,-65.6940740740741,72.0081481481482,50.2918518518519,9.82250740740741,0.01,991.7754,NA
"143","Miller",-122.7583,45.52269,"outside","morning",6.84010740740741,10.2575259259259,11.4956962962963,-64.7918518518518,61.48,67.537037037037,10.254137037037,0.01,991.858637037037,NA
"144","Miller",-122.7583,45.52269,"outside","night",7.33015567086731,10.7868495181616,12.0040919199407,-65.232023721275,63.9036323202372,62.650852483321,10.6064343958488,0.01,991.609888806523,NA
"145","Milwaukie",-122.626,45.43153,"inside","afternoon",174.198461538462,266.110769230769,279.762307692308,-48.6923076923077,76.7692307692308,20,176.646153846154,0,869.943076923077,NA
"146","Mirabella",-122.6702,45.4977,"outside","afternoon",8.48055699962867,12.9504753063498,13.9055217229855,-59.8346984363366,NA,NA,12.5734533976977,0.01,NA,NA
